127.0.0.1 - - [16/Nov/2022:15:33:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:15 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:16 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:17 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:17 +0900] "GET /Shoppingmall/BoardListAction.do?pageNum=1 HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:42 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:43 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:44 +0900] "GET /Shoppingmall/products.jsp HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:44 +0900] "GET /Shoppingmall/resources/image/P1235.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:44 +0900] "GET /Shoppingmall/resources/image/P1234.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:44 +0900] "GET /Shoppingmall/resources/image/P1236.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:46 +0900] "GET /Shoppingmall/product.jsp?id=P1234 HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:48 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:49 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:50 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:51 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:52 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:53 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:55 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:56 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:57 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:58 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:33:59 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:34:00 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:34:01 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:34:02 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:34:03 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:34:04 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:34:05 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:34:06 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:34:07 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:34:08 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:34:09 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:34:10 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:34:11 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:34:12 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [16/Nov/2022:15:34:13 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1482
