0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:40:25 +0900] "GET /Shoppingmall/member/resultMember.jsp?msg=2 HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:40:26 +0900] "GET /Shoppingmall/member/logoutMember.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:40:26 +0900] "GET /Shoppingmall/member/loginMember.jsp HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:40:29 +0900] "POST /Shoppingmall/member/processLoginMember.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:40:29 +0900] "GET /Shoppingmall/member/resultMember.jsp?msg=2 HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:40:31 +0900] "GET /Shoppingmall/member/logoutMember.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:40:31 +0900] "GET /Shoppingmall/member/loginMember.jsp HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:40:48 +0900] "POST /Shoppingmall/member/processLoginMember.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:40:48 +0900] "GET /Shoppingmall/member/resultMember.jsp?msg=2 HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:40:50 +0900] "GET /Shoppingmall/member/logoutMember.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:40:50 +0900] "GET /Shoppingmall/member/loginMember.jsp HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:24:54 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:24:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:24:55 +0900] "GET /Shoppingmall/member/loginMember.jsp;jsessionid=6717A589FC1C201D92DA55869414346B HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:24:57 +0900] "POST /Shoppingmall/member/processLoginMember.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:24:57 +0900] "GET /Shoppingmall/member/resultMember.jsp?msg=2 HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:24:58 +0900] "GET /Shoppingmall/member/updateMember.jsp HTTP/1.1" 500 3378
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:33:10 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:33:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:33:11 +0900] "GET /Shoppingmall/member/loginMember.jsp;jsessionid=E36FBB3BEB63A5E2DDD8D6CAC2263AE9 HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:33:12 +0900] "POST /Shoppingmall/member/processLoginMember.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:33:12 +0900] "GET /Shoppingmall/member/resultMember.jsp?msg=2 HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:33:13 +0900] "GET /Shoppingmall/member/updateMember.jsp HTTP/1.1" 500 3378
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:36:00 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:36:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:36:01 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:36:02 +0900] "GET /Shoppingmall/member/loginMember.jsp HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:36:04 +0900] "POST /Shoppingmall/member/processLoginMember.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:36:04 +0900] "GET /Shoppingmall/member/resultMember.jsp?msg=2 HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:36:05 +0900] "GET /Shoppingmall/member/updateMember.jsp HTTP/1.1" 500 3362
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:36:37 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:36:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:36:38 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1717
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:36:39 +0900] "GET /Shoppingmall/member/loginMember.jsp HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:36:41 +0900] "POST /Shoppingmall/member/processLoginMember.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:36:41 +0900] "GET /Shoppingmall/member/resultMember.jsp?msg=2 HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:36:43 +0900] "GET /Shoppingmall/member/updateMember.jsp HTTP/1.1" 500 3378
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:38:35 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:38:36 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:38:37 +0900] "GET /Shoppingmall/member/updateMember.jsp HTTP/1.1" 500 2718
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:38:41 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [04/Nov/2022:15:38:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
